,Protein,ENSG,UniProt,Source,Score,disease_id
1049,GSDMC,ENSG00000147697,Q9BYG8,uniprot_swissprot,0.09438376760804862,MONDO_0005180
1050,MMP13,ENSG00000137745,P45452,uniprot_swissprot,0.09341130827155837,MONDO_0005180
1051,KCNN3,ENSG00000143603,Q9UGI6,uniprot_swissprot,0.09316392967706141,MONDO_0005180
1052,TUBA1B,ENSG00000123416,P68363,uniprot_swissprot,0.09304172841687366,MONDO_0005180
1053,TREML1,ENSG00000161911,Q86YW5,uniprot_swissprot,0.0929493334532025,MONDO_0005180
1054,TH,ENSG00000180176,P07101,uniprot_swissprot,0.09267363199578472,MONDO_0005180
1055,MMP7,ENSG00000137673,P09237,uniprot_swissprot,0.09239496367117545,MONDO_0005180
1056,OR1G1,ENSG00000183024,P47890,uniprot_swissprot,0.09239496367117545,MONDO_0005180
1057,CAPN10,ENSG00000142330,Q9HC96,uniprot_swissprot,0.09239496367117545,MONDO_0005180
1058,SPATA19,ENSG00000166118,Q7Z5L4,uniprot_swissprot,0.09125423882331786,MONDO_0005180
1059,FDFT1,ENSG00000079459,P37268,uniprot_swissprot,0.0912078097172975,MONDO_0005180
1060,SEC14L4,ENSG00000133488,Q9UDX3,uniprot_swissprot,0.09081249129481735,MONDO_0005180
1061,ARID2,ENSG00000189079,Q68CP9,uniprot_swissprot,0.08882276604252898,MONDO_0005180
1062,SMDT1,ENSG00000183172,Q9H4I9,uniprot_swissprot,0.08838764483304676,MONDO_0005180
1063,SLC35G6,ENSG00000259224,P0C7Q6,uniprot_swissprot,0.08738520218557527,MONDO_0005180
1064,BDNF,ENSG00000176697,P23560,uniprot_swissprot,0.08718224778430604,MONDO_0005180
1065,NEFL,ENSG00000277586,P07196,uniprot_swissprot,0.08690575170486575,MONDO_0005180
1066,CEL,ENSG00000170835,P19835,uniprot_swissprot,0.08679366064299682,MONDO_0005180
1067,KCTD7,ENSG00000243335,Q96MP8,uniprot_swissprot,0.08641677202608919,MONDO_0005180
1068,STX4,ENSG00000103496,Q12846,uniprot_swissprot,0.08601934403150586,MONDO_0005180
1069,C2CD4A,ENSG00000198535,Q8NCU7,uniprot_swissprot,0.08597729550446391,MONDO_0005180
1070,ESRRG,ENSG00000196482,P62508,uniprot_swissprot,0.08521099452852433,MONDO_0005180
1071,SPTBN4,ENSG00000160460,Q9H254,uniprot_swissprot,0.0844819253424913,MONDO_0005180
1072,RELN,ENSG00000189056,P78509,uniprot_swissprot,0.08386527114043907,MONDO_0005180
1073,PRSS53,ENSG00000151006,Q2L4Q9,uniprot_swissprot,0.0833740081533555,MONDO_0005180
1074,PMP22,ENSG00000109099,Q01453,uniprot_swissprot,0.08335052932746613,MONDO_0005180
1075,GLRA1,ENSG00000145888,P23415,uniprot_swissprot,0.0832359644012815,MONDO_0005180
1076,NR1H4,ENSG00000012504,Q96RI1,uniprot_swissprot,0.0831554673040579,MONDO_0005180
1077,PRNP,ENSG00000171867,P04156,uniprot_swissprot,0.08277111580218147,MONDO_0005180
1078,QKI,ENSG00000112531,Q96PU8,uniprot_swissprot,0.0824946105430824,MONDO_0005180
1079,GRM1,ENSG00000152822,Q13255,uniprot_swissprot,0.08240271961920845,MONDO_0005180
1080,GRID2,ENSG00000152208,O43424,uniprot_swissprot,0.08115560473383944,MONDO_0005180
1081,S100B,ENSG00000160307,P04271,uniprot_swissprot,0.08082205015949616,MONDO_0005180
1082,KCNV1,ENSG00000164794,Q6PIU1,uniprot_swissprot,0.08058344128835315,MONDO_0005180
